val_accurate,train_loss,val_loss
"tensor(0.1967, device='cuda:0')","tensor(3.4621, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.2224, device='cuda:0')"
"tensor(0.3225, device='cuda:0')","tensor(2.9624, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8281, device='cuda:0')"
"tensor(0.3385, device='cuda:0')","tensor(2.7002, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6249, device='cuda:0')"
"tensor(0.3710, device='cuda:0')","tensor(2.5305, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4335, device='cuda:0')"
"tensor(0.3994, device='cuda:0')","tensor(2.4090, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2942, device='cuda:0')"
"tensor(0.4371, device='cuda:0')","tensor(2.2888, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1390, device='cuda:0')"
"tensor(0.4559, device='cuda:0')","tensor(2.2010, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0585, device='cuda:0')"
"tensor(0.4888, device='cuda:0')","tensor(2.1130, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9483, device='cuda:0')"
"tensor(0.5092, device='cuda:0')","tensor(2.0411, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8460, device='cuda:0')"
"tensor(0.5401, device='cuda:0')","tensor(1.9612, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7515, device='cuda:0')"
"tensor(0.5437, device='cuda:0')","tensor(1.9013, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6989, device='cuda:0')"
"tensor(0.5641, device='cuda:0')","tensor(1.8374, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6182, device='cuda:0')"
"tensor(0.5909, device='cuda:0')","tensor(1.7661, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5734, device='cuda:0')"
"tensor(0.5962, device='cuda:0')","tensor(1.7382, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5084, device='cuda:0')"
"tensor(0.6198, device='cuda:0')","tensor(1.6853, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4478, device='cuda:0')"
"tensor(0.6230, device='cuda:0')","tensor(1.6253, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4161, device='cuda:0')"
"tensor(0.6462, device='cuda:0')","tensor(1.5981, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3390, device='cuda:0')"
"tensor(0.6567, device='cuda:0')","tensor(1.5639, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3018, device='cuda:0')"
"tensor(0.6554, device='cuda:0')","tensor(1.5180, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2826, device='cuda:0')"
"tensor(0.6482, device='cuda:0')","tensor(1.4938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2594, device='cuda:0')"
